algo,seed_label,source,env_step,reward
td3,seed0,ours,610000,282.96
td3,seed0,ours,611000,281.52
td3,seed0,ours,612000,281.56
td3,seed0,ours,613000,281.58
td3,seed0,ours,614000,281.55
td3,seed0,ours,615000,281.57
td3,seed0,ours,616000,281.6
td3,seed0,ours,617000,281.61
td3,seed0,ours,618000,281.63
td3,seed0,ours,619000,281.61
td3,seed0,ours,620000,281.61
td3,seed0,ours,621000,281.6
td3,seed0,ours,622000,281.63
td3,seed0,ours,623000,281.64
td3,seed0,ours,624000,281.67
td3,seed0,ours,625000,281.7
td3,seed0,ours,626000,281.77
td3,seed0,ours,627000,281.83
td3,seed0,ours,628000,281.86
td3,seed0,ours,629000,281.83
td3,seed0,ours,630000,281.83
td3,seed0,ours,631000,281.88
td3,seed0,ours,632000,281.88
td3,seed0,ours,633000,281.91
td3,seed0,ours,634000,281.93
td3,seed0,ours,635000,281.97
td3,seed0,ours,636000,281.92
td3,seed0,ours,637000,281.91
td3,seed0,ours,638000,281.88
td3,seed0,ours,639000,281.82
td3,seed0,ours,640000,281.81
td3,seed0,ours,641000,281.8
td3,seed0,ours,642000,281.79
td3,seed0,ours,643000,283.53
td3,seed0,ours,644000,287.06
td3,seed0,ours,645000,286.98
td3,seed0,ours,646000,288.82
td3,seed0,ours,647000,288.83
td3,seed0,ours,648000,288.81
td3,seed0,ours,649000,288.79
td3,seed0,ours,650000,288.75
td3,seed0,ours,651000,290.76
td3,seed0,ours,652000,290.75
td3,seed0,ours,653000,290.76
td3,seed0,ours,654000,290.76
td3,seed0,ours,655000,290.75
td3,seed0,ours,656000,290.74
td3,seed0,ours,657000,289.14
td3,seed0,ours,658000,289.14
td3,seed0,ours,659000,289.15
td3,seed0,ours,660000,289.14
td3,seed0,ours,661000,289.14
td3,seed0,ours,662000,289.13
td3,seed0,ours,663000,289.1
td3,seed0,ours,664000,290.62
td3,seed0,ours,665000,290.64
td3,seed0,ours,666000,291.95
td3,seed0,ours,667000,292.0
td3,seed0,ours,668000,292.04
td3,seed0,ours,669000,292.06
td3,seed0,ours,670000,294.81
td3,seed0,ours,671000,294.83
td3,seed0,ours,672000,294.87
td3,seed0,ours,673000,294.9
td3,seed0,ours,674000,294.89
td3,seed0,ours,675000,294.94
td3,seed0,ours,676000,294.99
td3,seed0,ours,677000,295.01
td3,seed0,ours,678000,293.29
td3,seed0,ours,679000,293.33
td3,seed0,ours,680000,293.31
td3,seed0,ours,681000,293.28
td3,seed0,ours,682000,293.29
td3,seed0,ours,683000,293.3
td3,seed0,ours,684000,293.28
td3,seed0,ours,685000,293.28
td3,seed0,ours,686000,293.26
td3,seed0,ours,687000,293.27
td3,seed0,ours,688000,293.3
td3,seed0,ours,689000,293.32
td3,seed0,ours,690000,293.36
td3,seed0,ours,691000,291.01
td3,seed0,ours,692000,289.7
td3,seed0,ours,693000,289.72
td3,seed0,ours,694000,289.75
td3,seed0,ours,695000,289.83
td3,seed0,ours,696000,289.89
td3,seed0,ours,697000,289.93
td3,seed0,ours,698000,289.95
td3,seed0,ours,699000,290.0
td3,seed0,ours,700000,290.05
td3,seed0,ours,701000,290.08
td3,seed0,ours,702000,290.1
td3,seed0,ours,703000,290.12
td3,seed0,ours,704000,290.12
td3,seed0,ours,705000,290.17
td3,seed0,ours,706000,292.63
td3,seed0,ours,707000,294.18
td3,seed0,ours,708000,294.26
td3,seed0,ours,709000,294.29
td3,seed0,ours,710000,292.13
td3,seed0,ours,711000,293.62
td3,seed0,ours,712000,293.63
td3,seed0,ours,713000,293.66
td3,seed0,ours,714000,293.72
td3,seed0,ours,715000,293.75
td3,seed0,ours,716000,293.74
td3,seed0,ours,717000,293.74
td3,seed0,ours,718000,293.77
td3,seed0,ours,719000,293.85
td3,seed0,ours,720000,293.87
td3,seed0,ours,721000,293.93
td3,seed0,ours,722000,293.96
td3,seed0,ours,723000,289.94
td3,seed0,ours,724000,290.01
td3,seed0,ours,725000,290.07
td3,seed0,ours,726000,290.07
td3,seed0,ours,727000,290.07
td3,seed0,ours,728000,290.12
td3,seed0,ours,729000,290.23
td3,seed0,ours,730000,290.32
td3,seed0,ours,731000,290.33
td3,seed0,ours,732000,290.41
td3,seed0,ours,733000,290.45
td3,seed0,ours,734000,290.5
td3,seed0,ours,735000,290.55
td3,seed0,ours,736000,290.67
td3,seed0,ours,737000,290.72
td3,seed0,ours,738000,290.81
td3,seed0,ours,739000,290.88
td3,seed0,ours,740000,290.93
td3,seed0,ours,741000,291.0
td3,seed0,ours,742000,291.08
td3,seed0,ours,743000,291.14
td3,seed0,ours,744000,291.23
td3,seed0,ours,745000,291.34
td3,seed0,ours,746000,291.42
td3,seed0,ours,747000,291.44
td3,seed0,ours,748000,291.48
td3,seed0,ours,749000,291.52
td3,seed0,ours,750000,291.56
td3,seed0,ours,751000,291.61
td3,seed0,ours,752000,290.24
td3,seed0,ours,753000,290.27
td3,seed0,ours,754000,290.3
